Id,ms_categories_id,category,is_show_all
1,1,스킨 케어 모두 보기,TRUE
2,1,클렌저,
3,1,각질 제거,
4,1,트리트먼트 & 마스크,
5,1,토너,
6,1,하이드레이터,
7,1,립 & 아이,
8,1,쉐이빙,
9,1,선 케어,
10,1,키트,
11,6,중성,
12,6,건성,
13,6,지성,
14,6,복합성,
15,7,이그절티드 아이 세럼,
16,2,바디 & 핸드 모두 보기,TRUE
17,2,핸드,
18,2,바디,
19,2,퍼스널 케어,
20,2,번들,
21,2,핸드 및 바디 케어 기프트,
22,9,제라늄 리프,
23,10,레저렉션 아로마틱 핸드 밤,
24,10,레저렉션 아로마틱 핸드 워시,
25,10,제라늄 리프 듀엣,
26,3,헤어 모두 보기,TRUE
27,3,샴푸,
28,3,컨디셔너,
29,3,트리트먼트,
30,3,그루밍,
31,8,샴푸,
32,8,컨디셔너,
33,11,향수 모두 보기,TRUE
34,11,미라세티,
35,11,카르스트,
36,11,에레미아,
37,11,로즈,
38,11,휠,
39,11,마라케시,
40,11,테싯,
41,12,플로럴,
42,12,프레쉬,
43,12,우디,
44,12,오퓰런트,
45,13,테싯 앙상블,
46,13,휠 앙상블,
47,13,로즈 앙상블,
48,4,홈 모두 보기,
49,4,홈,
50,4,문학,
51,4,홈 케어 기프트,
52,14,프톨레미 아로마틱 캔들,
53,14,칼리푸스 아로마틱 캔들,
54,5,키트 & 여행 제품 모두 보기,
55,5,시즈널 기프트 키트,
56,5,스킨케어 키트,
57,5,바디 & 핸드케어 키드,
58,5,여행,
59,15,전체 기프트,
60,15,감사와 존경의 표시,
61,15,시즈널 기프트 키트,
62,15,이솝에서 사랑받는 제품들,
63,15,관대한 선물,
64,15,기프트 번들,
65,15,홈 케어 기프트,
66,15,나를 위한 선물,
67,15,트래블 기프트,
68,15,작은 제스처,
