id,products_id,features_id,contents,is_additional
1,1,1,"모든 피부, 메이크업을 한 피부",
2,1,2,"진정된, 생기있는",
3,1,3,"그레이프 씨드, 토코페롤, 마트리카리아꽃오일(블루 카모마일)",
4,2,1,"중성, 복합성, 건성, 민감성 피부",
5,2,2,"부드러운, 진정된",
6,2,3,"마카다미아 씨, 토코페롤, 베타 카로틴",
7,3,1,모든 피부,
8,3,2,"진정된, 부드러운, 가벼운
",
9,3,3,"파슬리 씨드, 라벤더, 마트리카리아꽃오일",
10,4,1,"대부분의 피부 타입, 지성, 문제성 피부",
11,4,2,"시원한, 깨끗한, 매트한 마무리",
12,4,3,"비터 오렌지, 위치 헤이즐, 로즈마리 리프",
13,5,1,"모든 피부, 지성, 복합성 피부",
14,5,2,"시원한, 가벼운",
15,5,3,"파슬리 씨드, 라벤더, 블루 카모마일",
16,6,1,"모든 피부, 건성 피부",
17,6,2,"수분 및 영양 공급, 부드러운 마무리",
18,6,3,"소듐 아스코빌 포스페이트, 토코페롤, 소듐 락테이트",
19,7,1,모든 피부 타입. 특히 건조하고 갈라진 입술에 효과적,
20,7,2,"풍부한 영양, 매끄럽고, 부드러운",
21,7,3,"그레이프프루트 라인드, 시더 아틀라스, 오렌지 라인드",
22,8,4,직경 130mm X 높이 49mm,
23,9,5,안목있는 쉐이버,
24,9,2,"부드러움, 매끄러움",
25,10,3,영국 장인이 제작한 핸드 메이드,
26,11,2,"깔끔한, 상쾌한",
27,11,6,"시트러스, 우드, 허브",
28,11,3,"만다린, 로즈마리 리프, 시더우드 아틀라스",
29,12,2,"부드러운, 유분기 없는",
30,12,6,"시트러스, 우드, 허브",
31,12,3,"만다린, 로즈마리 리프, 시더우드 아틀라스",
32,13,2,"따뜻함, 깨끗함, 상쾌함",
33,13,6,"플로랄, 스파이시, 따뜻함",
34,13,3,"로즈, 카다멈, 블랙 페퍼",
35,14,2,"집중 수분 공급, 부드러움",
36,14,6,"우디, 가벼운 시트러스향",
37,14,3,"오렌지, 호호바 씨드, 로렐 리프",
38,15,2,"탄력, 부드러움, 촉촉함",
39,15,6,"그린, 시트러스, 상쾌함",
40,15,3,"제라늄 리프, 만다린, 베르가못",
41,16,7,"모든 성별, 탐험가, 쾌락주의자, 인습 타파 주의자",
